"filename", "language", "JavaScript", "JSON", "HTML", "JSON with Comments", "Vue", "Markdown", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.eslintrc.cjs", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.github\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 31, 82
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.github\workflows\build.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 9, 5, 34
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.laravel-guide\README.md", "Markdown", 0, 0, 0, 0, 0, 354, 0, 0, 0, 0, 136, 490
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.laravel-guide\resources\js\Pages\Auth\ConfirmPassword.vue", "Vue", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 11, 79
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.laravel-guide\resources\js\Pages\Auth\ForgotPassword.vue", "Vue", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 11, 92
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.laravel-guide\resources\js\Pages\Auth\Login.vue", "Vue", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 12, 130
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.laravel-guide\resources\js\Pages\Auth\Register.vue", "Vue", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 13, 132
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.laravel-guide\resources\js\Pages\Auth\ResetPassword.vue", "Vue", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 11, 112
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.laravel-guide\resources\js\Pages\Auth\TwoFactorChallenge.vue", "Vue", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 17, 127
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.laravel-guide\resources\js\Pages\Auth\VerifyEmail.vue", "Vue", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 11, 71
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.laravel-guide\resources\js\app.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 38
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.laravel-guide\resources\js\components\FormValidationErrors.vue", "Vue", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.nuxt-guide\README.md", "Markdown", 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 59, 292
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.prettierrc.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\.run\Vue Debug.run.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\README.md", "Markdown", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 65, 182
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\formkit.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\index.html", "HTML", 0, 0, 56, 0, 0, 0, 0, 0, 0, 2, 6, 64
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\jsconfig.json", "JSON with Comments", 0, 0, 0, 15, 0, 0, 0, 0, 0, 9, 1, 25
